BV_ID,hole_id,test,comp_no,process_phase,grind_P97,Fe3O4_pct_SATMAGAN,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,C_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,LOI371_pct,LOI650_pct,LOI1000_pct,LOI_total_pct,project,Cu_pct_XRF,FeO_titration
44712680035,GVRD0268,DTR,4,Cons,45,87.6,67.13,5.927,0.143,0.019,0.073,0.061,0.015,0.005,0.162,0.007,0.011,0.003,-0.001,0.002,0.002,0.005,0.004,0.004,0.022,0.01,0.001,-0.001,-0.001,0.001,-0.47,-1.11,-0.95,-2.53,4471,NA,NA
44712680036,GVRD0268,DTR,5,Cons,45,89.5,67.36,5.289,0.16,0.024,0.064,0.065,0.016,0.007,0.219,0.001,0.001,0.002,-0.001,0.004,0.001,0.002,-0.001,0.004,0.035,0.004,-0.001,-0.001,-0.001,-0.001,-0.37,-0.84,-1.09,-2.3,4471,NA,NA
44712680037,GVRD0268,DTR,6,Cons,45,88.4,67.54,5.43,0.103,0.012,0.078,0.058,0.015,0.004,0.132,0.021,0.005,0.003,-0.001,-0.001,0.001,0.002,0.002,0.002,0.02,0.013,-0.001,0.001,-0.001,-0.001,-0.51,-1.15,-0.9,-2.56,4471,NA,NA
44712680038,GVRD0268,DTR,7,Cons,45,89,67.62,5.457,0.09,0.012,0.064,0.069,0.018,0.004,0.144,0.026,0.009,0.003,-0.001,0.002,0.002,0.005,0.006,0.003,0.013,0.006,0.001,0.002,-0.001,0.001,-0.58,-1.23,-0.88,-2.69,4471,NA,NA
44712680039,GVRD0268,DTR,8,Cons,45,90.7,68.99,3.801,0.067,0.01,0.057,0.087,0.019,0.001,0.118,0.014,0.012,0.004,-0.001,0.003,0.002,0.007,0.004,0.003,0.012,0.005,0.001,-0.001,0.001,0.002,-0.61,-1.31,-1.02,-2.94,4471,NA,NA
44712680040,GVRD0268,DTR,9,Cons,45,92.2,69.4,3.235,0.071,0.012,0.046,0.085,0.019,0.003,0.132,0.009,0.01,0.003,-0.001,0.002,0.002,0.003,0.004,0.003,0.015,0.005,-0.001,-0.001,-0.001,-0.001,-0.57,-1.31,-1.07,-2.95,4471,NA,NA
44712680041,GVRD0268,DTR,2,Cons,38,85.1,68.53,4.222,0.056,0.016,0.046,0.049,0.013,0.001,0.112,0.015,0.008,0.005,-0.001,0.002,0.004,0.009,0.006,0.004,0.022,0.007,0.001,0.004,0.002,0.003,-0.51,-1.19,-0.96,-2.66,4471,NA,NA
44712680042,GVRD0268,DTR,3,Cons,38,91.3,68.99,3.768,0.067,0.014,0.042,0.051,0.012,0.004,0.098,0.01,0.024,0.004,-0.001,0.002,0.003,0.007,0.004,0.003,0.019,0.008,-0.001,0.001,0.001,0.002,-0.53,-1.27,-1.06,-2.86,4471,NA,NA
44712680043,GVRD0268,DTR,4,Cons,38,89.5,68.25,4.612,0.117,0.016,0.057,0.05,0.012,0.006,0.126,0.004,0.009,0.004,-0.001,0.001,0.003,0.004,0.004,0.004,0.023,0.01,-0.001,0.002,-0.001,-0.001,-0.48,-1.25,-1.02,-2.75,4471,NA,NA
44712680044,GVRD0268,DTR,5,Cons,38,90.9,68.04,4.508,0.139,0.023,0.057,0.059,0.014,0.006,0.194,0.001,0.015,0.003,-0.001,0.001,0.002,0.003,-0.001,0.005,0.037,0.01,-0.001,-0.001,-0.001,-0.001,-0.39,-0.92,-1.14,-2.45,4471,NA,NA
44712680045,GVRD0268,DTR,6,Cons,38,90.3,68.97,3.744,0.083,0.01,0.06,0.049,0.01,0.001,0.103,0.012,0.017,0.004,-0.001,0.003,0.003,0.006,0.005,0.003,0.02,0.009,0.001,-0.001,0.001,-0.001,-0.58,-1.26,-1,-2.84,4471,NA,NA
44712680046,GVRD0268,DTR,7,Cons,38,89.2,68.22,4.739,0.087,0.012,0.058,0.065,0.016,0.002,0.124,0.021,0.014,0.003,-0.001,0.001,0.002,0.006,0.004,0.003,0.015,0.009,0.001,-0.001,-0.001,-0.001,-0.61,-1.28,-0.92,-2.81,4471,NA,NA
44712680047,GVRD0268,DTR,8,Cons,38,90.9,69.56,3.139,0.056,0.008,0.05,0.081,0.016,0.002,0.1,0.01,0.011,0.002,-0.001,0.004,0.002,0.001,0.004,0.002,0.01,0.003,0.001,0.001,-0.001,-0.001,-0.7,-1.4,-0.93,-3.03,4471,NA,NA
44712680048,GVRD0268,DTR,9,Cons,38,93.4,69.68,2.928,0.069,0.012,0.044,0.079,0.017,0.003,0.116,0.007,0.01,0.002,-0.001,0.001,0.002,0.004,0.003,0.003,0.015,0.003,0.001,0.001,-0.001,-0.001,-0.63,-1.4,-0.98,-3.01,4471,NA,NA
44712680049,GVRD0268,DTR,2,Tails,53,1.02,18.9,55.55,1.436,0.064,0.813,0.68,0.163,0.065,2.12,0.45,0.034,0.01,-0.001,0.003,0.011,-0.001,0.008,0.002,0.003,0.004,-0.001,-0.001,0.002,0.008,2.21,8.49,0.31,11.01,4471,NA,NA
44712680050,GVRD0268,DTR,3,Tails,53,1,16.99,57.71,1.438,0.056,0.875,0.599,0.141,0.197,2.22,0.293,0.011,0.007,-0.001,0.002,0.012,-0.001,0.008,-0.001,0.002,0.003,-0.001,-0.001,0.002,0.007,2.54,8.49,0.57,11.6,4471,NA,NA
44712680051,GVRD0268,DTR,4,Tails,53,1,15.1,61.63,2.18,0.094,0.991,0.511,0.133,0.137,2.47,0.164,0.024,0.005,-0.001,0.002,0.009,0.004,0.009,0.002,0.003,0.007,0.001,-0.001,0.003,0.011,1.31,7.73,0.41,9.45,4471,NA,NA
44712680052,GVRD0268,DTR,5,Tails,53,1,19.36,52.58,2.344,0.095,0.696,0.531,0.123,0.137,3.02,0.024,0.025,0.005,-0.001,0.002,0.006,-0.001,0.006,-0.001,0.005,0.007,0.001,-0.001,0.002,0.007,2.48,10.15,0.41,13.04,4471,NA,NA
44712680053,GVRD0268,DTR,6,Tails,53,1.4,17.74,58.98,1.692,0.076,0.983,0.513,0.129,0.097,2.14,0.401,0.028,0.003,-0.001,0.003,0.005,0.001,0.007,0.002,0.003,0.005,-0.001,-0.001,0.003,0.009,1.28,7.36,0.42,9.06,4471,NA,NA
44712680054,GVRD0268,DTR,7,Tails,53,1.2,17.44,59.56,1.539,0.063,0.937,0.699,0.169,0.071,2.42,0.436,0.025,0.003,0.001,0.002,0.004,0.001,0.008,-0.001,0.005,0.009,-0.001,-0.001,0.002,0.007,0.59,7.59,0.37,8.55,4471,NA,NA
44712680055,GVRD0268,DTR,8,Tails,53,1.2,16.1,60.7,1.223,0.05,0.96,2.35,0.15,0.031,2.8,0.295,0.025,0.003,0.001,0.003,0.006,0.001,0.009,-0.001,0.002,0.005,-0.001,-0.001,0.002,0.01,0.4,6.62,2.17,9.19,4471,NA,NA
44712680056,GVRD0268,DTR,9,Tails,53,0.9,14.9,58.25,1.445,0.056,0.922,2.451,0.161,0.074,3.48,0.178,0.019,0.006,0.001,0.004,0.008,-0.001,0.007,-0.001,0.001,0.002,-0.001,-0.001,0.002,0.009,0.41,8.46,2.18,11.05,4471,NA,NA
44712680057,GVRD0268,DTR,2,Tails,45,0.9,19.19,55.35,1.382,0.059,0.821,0.653,0.159,0.059,2.1,0.431,0.024,0.015,-0.001,0.004,0.011,0.001,0.006,0.001,0.001,0.002,0.001,-0.001,0.003,0.011,2.04,8.61,0.29,10.94,4471,NA,NA
44712680058,GVRD0268,DTR,3,Tails,45,0.9,17.13,57.49,1.408,0.057,0.891,0.587,0.134,0.206,2.23,0.281,0.026,0.014,-0.001,0.003,0.01,-0.001,0.006,-0.001,-0.001,0.001,-0.001,-0.001,0.002,0.008,2.23,8.82,0.62,11.67,4471,NA,NA
44712680059,GVRD0268,DTR,4,Tails,45,1,14.95,61.85,2.208,0.096,0.976,0.507,0.132,0.132,2.49,0.17,0.019,0.005,0.001,0.001,0.008,-0.001,0.007,-0.001,0.003,0.006,-0.001,-0.001,0.002,0.007,0.99,7.96,0.48,9.43,4471,NA,NA
44712680060,GVRD0268,DTR,5,Tails,45,0.9,19.22,52.14,2.329,0.094,0.7,0.539,0.124,0.123,3.03,0.021,0.012,0.004,-0.001,0.002,0.005,-0.001,0.003,0.001,0.004,0.006,0.001,-0.001,0.002,0.007,2.11,10.43,0.39,12.93,4471,NA,NA
44712680061,GVRD0268,DTR,6,Tails,45,1.2,17.58,59.01,1.676,0.074,0.999,0.534,0.136,0.096,2.15,0.4,0.033,0.004,-0.001,0.003,0.006,0.002,0.01,-0.001,0.002,0.002,-0.001,-0.001,0.003,0.01,1.06,7.65,0.43,9.14,4471,NA,NA
44712680062,GVRD0268,DTR,7,Tails,45,1.2,17.47,59.49,1.541,0.061,0.945,0.694,0.17,0.063,2.41,0.446,0.025,0.003,0.001,0.001,0.004,-0.001,0.012,-0.001,0.001,0.002,-0.001,-0.001,0.002,0.008,0.48,7.71,0.35,8.54,4471,NA,NA
44712680063,GVRD0268,DTR,8,Tails,45,1,15.26,60.71,1.219,0.05,0.953,2.32,0.152,0.031,2.77,0.301,0.033,0.003,0.001,0.001,0.006,0.002,0.007,-0.001,0.003,0.005,-0.001,-0.001,0.003,0.012,0.36,6.5,2.15,9.01,4471,NA,NA
44712680064,GVRD0268,DTR,9,Tails,45,1.2,15.11,58.08,1.439,0.061,0.922,2.435,0.171,0.057,3.49,0.174,0.016,0.002,0.001,0.003,0.007,-0.001,0.004,-0.001,0.001,0.003,-0.001,-0.001,0.001,0.007,0.4,8.37,2.16,10.93,4471,NA,NA
44712680065,GVRD0268,DTR,2,Tails,38,0.9,19.1,55.25,1.406,0.12,0.821,0.652,0.158,0.06,2.12,0.437,0.019,0.006,0.001,0.001,0.011,-0.001,0.01,-0.001,0.007,0.009,0.001,-0.001,0.001,0.007,2.21,8.51,0.33,11.05,4471,NA,NA
44712680066,GVRD0268,DTR,3,Tails,38,0.9,17.18,57.45,1.404,0.055,0.891,0.593,0.136,0.204,2.24,0.269,0.022,0.004,0.001,0.004,0.006,-0.001,0.012,-0.001,-0.001,0.001,-0.001,-0.001,0.002,0.007,2.41,8.6,0.65,11.66,4471,NA,NA
44712680067,GVRD0268,DTR,4,Tails,38,1,15.05,61.55,2.204,0.093,0.983,0.52,0.134,0.144,2.49,0.165,0.025,0.006,0.001,0.001,0.011,0.002,0.009,-0.001,0.006,0.014,0.001,-0.001,0.003,0.009,0.98,8.02,0.54,9.54,4471,NA,NA
44712680068,GVRD0268,DTR,5,Tails,38,1,19.56,51.53,2.297,0.093,0.705,0.525,0.119,0.124,3.04,0.02,0.015,0.004,-0.001,0.001,0.004,-0.001,0.004,-0.001,0.004,0.005,0.001,-0.001,0.002,0.007,2.38,10.28,0.43,13.09,4471,NA,NA
44712680069,GVRD0268,DTR,6,Tails,38,0.9,17.28,59.56,1.611,0.068,0.991,0.54,0.136,0.094,2.11,0.404,0.026,0.004,-0.001,0.002,0.007,0.002,0.006,-0.001,0.002,0.002,0.001,-0.001,0.003,0.011,1.25,7.45,0.44,9.14,4471,NA,NA
44712680070,GVRD0268,DTR,7,Tails,38,1,17.45,59.62,1.511,0.065,0.937,0.683,0.169,0.06,2.39,0.443,0.027,0.003,0.001,0.002,0.005,0.001,0.01,-0.001,-0.001,0.001,-0.001,-0.001,0.002,0.009,0.57,7.56,0.37,8.5,4471,NA,NA
44712680071,GVRD0268,DTR,8,Tails,38,0.9,14.98,60.93,1.216,0.048,0.953,2.369,0.149,0.031,2.8,0.301,0.026,0.002,0.001,0.001,0.007,0.001,0.005,-0.001,0.004,0.008,-0.001,-0.001,0.002,0.008,0.38,6.54,2.2,9.12,4471,NA,NA
44712680072,GVRD0268,DTR,9,Tails,38,0.9,14.95,58.21,1.45,0.061,0.922,2.485,0.159,0.059,3.51,0.169,0.02,0.003,0.001,0.002,0.008,0.001,0.008,-0.001,0.001,0.002,-0.001,-0.001,0.002,0.011,0.43,8.33,2.22,10.98,4471,NA,NA
44712690001,GVRD0269,DTR,2,Feed,53,31.03,35.75,39.58,1.348,0.068,0.63,0.562,0.139,0.096,1.5,0.244,0.012,0.003,0.001,-0.001,-0.001,-0.001,0.004,0.008,0.009,-0.001,0.001,-0.001,0.003,0.005,0.25,3.65,-0.08,3.82,4471,NA,NA
44712690002,GVRD0269,DTR,3,Feed,53,29.2,33.36,38.94,1.745,0.077,0.497,0.505,0.134,0.125,2.42,0.191,0.03,0.003,0.001,0.002,0.002,0.001,0.005,0.002,0.013,-0.001,-0.001,-0.001,0.004,0.009,0.16,7.08,-0.08,7.16,4471,NA,NA
44712690003,GVRD0269,DTR,4,Feed,53,32.58,35.38,37.23,1.713,0.084,0.568,0.541,0.146,0.132,1.98,0.05,0.016,0.004,0.001,0.001,0.001,0.002,-0.001,0.002,0.015,0.007,0.002,-0.001,0.004,0.01,0.14,6.45,-0.12,6.47,4471,NA,NA
44712690004,GVRD0269,DTR,5,Feed,53,32.29,34.05,40.47,1.928,0.086,0.59,0.376,0.096,0.152,1.74,0.19,0.012,0.004,0.001,0.001,0.002,-0.001,0.004,0.002,0.024,0.015,-0.001,-0.001,0.003,0.006,0.16,5.12,-0.07,5.21,4471,NA,NA
44712690005,GVRD0269,DTR,6,Feed,53,34.41,35.17,38.85,1.033,0.048,0.602,1.275,0.113,0.047,1.76,0.309,0.014,0.003,0.001,0.019,0.001,-0.001,-0.001,-0.001,0.009,0.001,0.001,-0.001,0.003,0.008,-0.05,4.3,0.62,4.87,4471,NA,NA
44712690006,GVRD0269,DTR,7,Feed,53,35.67,35.7,38.6,1.154,0.049,0.599,1.267,0.12,0.099,1.83,0.405,0.012,0.002,0.001,0.004,0.001,-0.001,-0.001,-0.001,0.013,0.009,0.001,-0.001,0.003,0.009,-0.07,3.72,0.54,4.19,4471,NA,NA
44712690007,GVRD0269,DTR,2,Feed,45,29.87,35.62,39.96,1.343,0.066,0.629,0.427,0.131,0.091,1.49,0.238,0.017,0.003,0.001,0.01,0.001,-0.001,0.004,0.001,0.013,0.005,0.001,-0.001,0.003,0.006,0.22,3.71,-0.09,3.84,4471,NA,NA
44712690008,GVRD0269,DTR,3,Feed,45,28.62,33.24,38.83,1.755,0.078,0.49,0.465,0.122,0.137,2.39,0.192,0.028,0.003,0.001,0.002,0.002,-0.001,0.005,0.002,0.016,0.004,-0.001,-0.001,0.003,0.008,0.15,6.98,-0.05,7.08,4471,NA,NA
44712690009,GVRD0269,DTR,4,Feed,45,32,34.86,37.61,1.79,0.084,0.569,0.562,0.153,0.131,2.05,0.054,0.023,0.003,0.001,0.003,-0.001,-0.001,0.002,0.002,0.012,0.001,-0.001,-0.001,0.003,0.009,0.13,6.39,-0.12,6.4,4471,NA,NA
44712690010,GVRD0269,DTR,5,Feed,45,32.77,33.95,40.33,1.895,0.085,0.586,0.378,0.096,0.172,1.74,0.197,0.009,0.004,0.001,0.003,0.002,-0.001,0.004,0.002,0.018,0.005,-0.001,-0.001,0.004,0.009,0.15,5.09,-0.02,5.22,4471,NA,NA
44712690011,GVRD0269,DTR,6,Feed,45,35.28,35.64,38.48,1.037,0.043,0.599,1.237,0.111,0.045,1.75,0.318,0.012,0.002,0.001,0.006,0.002,-0.001,0.004,-0.001,0.007,-0.001,0.001,-0.001,0.003,0.008,-0.04,4.28,0.57,4.81,4471,NA,NA
44712690012,GVRD0269,DTR,7,Feed,45,36.35,36.14,38.14,1.122,0.053,0.588,1.291,0.126,0.086,1.8,0.398,0.015,0.002,0.001,0.006,-0.001,-0.001,0.002,-0.001,0.008,-0.001,0.001,-0.001,0.003,0.006,-0.06,3.64,0.56,4.14,4471,NA,NA
44712690013,GVRD0269,DTR,2,Feed,38,30.94,36.2,39.54,1.301,0.06,0.628,0.414,0.128,0.082,1.48,0.245,0.016,0.003,0.001,0.004,0.003,0.002,0.006,0.001,0.011,-0.001,0.002,-0.001,0.004,0.009,0.21,3.66,-0.05,3.82,4471,NA,NA
44712690014,GVRD0269,DTR,3,Feed,38,27.94,33.14,39,1.784,0.085,0.5,0.471,0.125,0.144,2.44,0.196,0.032,0.004,0.001,0.004,0.002,0.003,0.009,0.002,0.016,0.007,0.001,-0.001,0.004,0.01,0.17,7.01,0.1,7.28,4471,NA,NA
44712690015,GVRD0269,DTR,4,Feed,38,32.29,35.03,37.14,1.751,0.077,0.567,0.542,0.147,0.14,2.03,0.05,0.01,0.003,0.001,0.005,0.001,-0.001,-0.001,0.002,0.015,0.004,0.001,-0.001,0.003,0.006,0.14,6.37,0,6.51,4471,NA,NA
44712690016,GVRD0269,DTR,5,Feed,38,32.29,33.87,40.62,1.905,0.089,0.589,0.389,0.1,0.151,1.73,0.208,0.013,0.004,0.001,0.004,0.001,-0.001,0.004,0.002,0.015,0.008,-0.001,-0.001,0.003,0.008,0.15,5.05,0.04,5.24,4471,NA,NA
44712690017,GVRD0269,DTR,6,Feed,38,35.38,35.79,38.17,1.052,0.044,0.599,1.241,0.112,0.059,1.76,0.319,0.015,0.002,0.001,0.006,0.002,-0.001,0.003,-0.001,0.011,0.002,0.001,-0.001,0.003,0.011,-0.06,4.24,0.62,4.8,4471,NA,NA
44712690018,GVRD0269,DTR,7,Feed,38,37.5,36.31,37.9,1.147,0.053,0.579,1.248,0.123,0.073,1.78,0.404,0.018,0.002,0.001,0.008,-0.001,-0.001,0.005,-0.001,0.011,0.003,0.001,-0.001,0.003,0.008,-0.09,3.52,0.6,4.03,4471,NA,NA
44712690019,GVRD0269,DTR,2,Cons,53,77.48,66.77,5.671,0.195,0.024,0.076,0.083,0.027,0.012,0.204,0.021,0.008,0.003,0.001,0.009,0.002,-0.001,0.004,0.003,0.025,0.004,0.002,-0.001,0.001,0.002,-0.25,-0.86,-0.92,-2.03,4471,NA,NA
44712690020,GVRD0269,DTR,3,Cons,53,87.91,67.24,4.979,0.206,0.039,0.07,0.095,0.026,0.017,0.284,0.032,0.008,0.003,-0.001,0.012,0.001,0.001,0.004,0.006,0.036,0.005,0.002,-0.001,0.002,0.003,-0.23,-0.66,-1.32,-2.21,4471,NA,NA
44712690021,GVRD0269,DTR,4,Cons,53,88.29,66.14,6.383,0.205,0.028,0.086,0.095,0.025,0.013,0.26,0.004,0.009,0.004,0.001,0.01,0.002,-0.001,0.002,0.004,0.031,0.005,0.001,-0.001,0.001,0.005,-0.28,-0.52,-1.33,-2.13,4471,NA,NA
44712690022,GVRD0269,DTR,5,Cons,53,86.2,65.71,7.226,0.242,0.038,0.088,0.082,0.024,0.013,0.244,0.023,0.005,0.003,-0.001,0.008,-0.001,0.001,0.005,0.004,0.031,0.006,0.002,-0.001,0.002,0.004,-0.2,-0.66,-1.3,-2.16,4471,NA,NA
44712690023,GVRD0269,DTR,6,Cons,53,89.42,68.79,3.817,0.105,0.019,0.054,0.089,0.022,0.006,0.136,0.036,0.009,0.003,-0.001,0.008,-0.001,-0.001,0.002,0.002,0.022,0.009,0.001,-0.001,0.001,0.001,-0.4,-1.09,-1.31,-2.8,4471,NA,NA
44712690024,GVRD0269,DTR,7,Cons,53,90.56,67.5,5.264,0.132,0.017,0.067,0.102,0.024,0.006,0.179,0.054,0.004,0.003,-0.001,0.007,0.003,0.002,0.004,0.002,0.02,0.002,0.002,-0.001,0.001,0.004,-0.39,-1.04,-1.28,-2.71,4471,NA,NA
44712690025,GVRD0269,DTR,2,Cons,45,78.62,68.34,3.901,0.124,0.023,0.059,0.065,0.021,0.009,0.143,0.013,0.006,0.003,-0.001,0.006,-0.001,0.001,0.004,0.003,0.025,0.004,0.001,-0.001,0.001,0.003,-0.33,-1.13,-0.81,-2.27,4471,NA,NA
44712690026,GVRD0269,DTR,3,Cons,45,89.23,68.31,3.923,0.161,0.028,0.053,0.074,0.02,0.012,0.219,0.023,0.007,0.002,-0.001,0.006,0.001,-0.001,0.002,0.005,0.035,0.008,0.001,-0.001,0.001,0.001,-0.31,-0.91,-1.26,-2.48,4471,NA,NA
44712690027,GVRD0269,DTR,4,Cons,45,90.56,67.25,5.166,0.169,0.031,0.069,0.08,0.021,0.011,0.207,0.003,0.015,0.003,-0.001,0.006,-0.001,-0.001,0.005,0.004,0.028,0.004,0.001,-0.001,0.001,0.005,-0.3,-0.81,-1.22,-2.33,4471,NA,NA
44712690028,GVRD0269,DTR,5,Cons,45,87.53,67.22,5.436,0.195,0.027,0.068,0.067,0.019,0.011,0.179,0.017,0.014,0.003,-0.001,0.005,-0.001,0.001,0.004,0.005,0.028,0.006,0.002,-0.001,0.001,0.004,-0.29,-1.04,-1.11,-2.44,4471,NA,NA
44712690029,GVRD0269,DTR,6,Cons,45,90.94,69.24,3.196,0.087,0.018,0.051,0.079,0.02,0.004,0.116,0.028,0.01,0.002,-0.001,0.004,-0.001,-0.001,0.004,0.002,0.021,0.004,0.002,-0.001,0.001,-0.001,-0.4,-1.32,-1.16,-2.88,4471,NA,NA
44712690030,GVRD0269,DTR,7,Cons,45,91.51,68.4,4.31,0.101,0.014,0.061,0.086,0.021,0.006,0.141,0.041,0.007,0.003,0.001,0.006,-0.001,-0.001,0.004,0.002,0.018,0.005,0.001,-0.001,0.001,0.003,-0.41,-1.28,-1.12,-2.81,4471,NA,NA
44712690031,GVRD0269,DTR,2,Cons,38,78.81,68.57,3.869,0.114,0.026,0.055,0.064,0.021,0.007,0.141,0.014,0.012,0.004,-0.001,0.008,0.001,0.004,0.006,0.004,0.025,0.007,0.002,0.001,0.002,0.006,-0.29,-1.07,-0.97,-2.33,4471,NA,NA
44712690032,GVRD0269,DTR,3,Cons,38,90.56,68.59,3.603,0.154,0.028,0.051,0.071,0.019,0.012,0.21,0.02,0.01,0.003,-0.001,0.005,0.002,0.001,0.004,0.005,0.036,0.003,0.001,-0.001,0.001,0.004,-0.34,-1.04,-1.13,-2.51,4471,NA,NA
44712690033,GVRD0269,DTR,4,Cons,38,89.99,67.75,4.527,0.167,0.029,0.066,0.075,0.02,0.008,0.198,0.003,0.007,0.003,-0.001,0.006,0.001,0.002,0.004,0.004,0.028,0.002,0.002,-0.001,0.001,0.005,-0.33,-0.95,-1.13,-2.41,4471,NA,NA
44712690034,GVRD0269,DTR,5,Cons,38,88.66,67.79,4.923,0.19,0.025,0.066,0.064,0.018,0.009,0.175,0.015,0.009,0.003,0.001,0.006,-0.001,-0.001,0.004,0.004,0.028,0.003,0.002,0.001,0.001,0.003,-0.28,-1.08,-1.09,-2.45,4471,NA,NA
44712690035,GVRD0269,DTR,6,Cons,38,91.89,69.73,2.812,0.086,0.013,0.047,0.074,0.018,0.004,0.109,0.022,0.004,0.004,-0.001,0.006,-0.001,0.002,0.005,0.002,0.019,0.002,0.001,-0.001,0.001,0.001,-0.45,-1.39,-1,-2.84,4471,NA,NA
44712690036,GVRD0269,DTR,7,Cons,38,90.18,68.85,3.852,0.101,0.014,0.055,0.081,0.019,0.005,0.138,0.035,0.02,0.003,0.001,0.006,-0.001,0.001,0.004,0.002,0.018,0.005,0.002,0.001,0.001,0.005,-0.46,-1.4,-0.97,-2.83,4471,NA,NA
44712690037,GVRD0269,DTR,2,Tails,53,0.89,15.56,62.27,2.089,0.083,0.953,0.653,0.202,0.138,2.26,0.387,0.018,0.004,0.001,-0.001,0.007,-0.001,0.005,-0.001,0.012,0.008,-0.001,-0.001,0.003,0.006,0.58,6.45,0.64,7.67,4471,NA,NA
44712690038,GVRD0269,DTR,3,Tails,53,0.89,16.72,55.89,2.492,0.1,0.686,0.66,0.178,0.188,3.35,0.25,0.045,0.005,0.001,0.001,0.005,-0.001,0.008,-0.001,0.003,0.003,0.001,-0.001,0.004,0.009,0.36,10.54,0.74,11.64,4471,NA,NA
44712690039,GVRD0269,DTR,4,Tails,53,1.02,16.62,55.92,2.579,0.106,0.836,0.804,0.217,0.199,2.97,0.071,0.031,0.007,0.001,-0.001,0.008,-0.001,-0.001,-0.001,0.008,0.002,0.001,-0.001,0.004,0.009,0.4,10.47,0.6,11.47,4471,NA,NA
44712690040,GVRD0269,DTR,5,Tails,53,1.29,14.83,60.89,2.848,0.117,0.86,0.549,0.139,0.226,2.55,0.286,0.039,0.005,0.001,0.001,0.007,-0.001,0.008,-0.001,0.004,0.005,0.001,-0.001,0.005,0.011,0.47,8.38,0.7,9.55,4471,NA,NA
44712690041,GVRD0269,DTR,6,Tails,53,1.15,13.98,61.86,1.613,0.062,0.906,1.912,0.167,0.075,2.67,0.477,0.023,0.003,0.001,-0.001,0.008,-0.001,0.005,-0.001,0.004,-0.001,-0.001,-0.001,0.003,0.008,0.22,7.47,1.81,9.5,4471,NA,NA
44712690042,GVRD0269,DTR,7,Tails,53,1.15,13.99,61.88,1.795,0.071,0.914,1.931,0.179,0.158,2.81,0.63,0.022,0.004,0.001,-0.001,0.007,-0.001,0.005,-0.001,0.001,0.001,-0.001,-0.001,0.004,0.011,0.19,6.77,1.71,8.67,4471,NA,NA
44712690043,GVRD0269,DTR,2,Tails,45,0.89,15.58,62.4,2.048,0.094,0.953,0.636,0.196,0.14,2.27,0.371,0.028,0.004,0.001,-0.001,0.006,0.001,0.007,-0.001,0.005,0.003,0.001,-0.001,0.004,0.009,0.6,6.56,0.52,7.68,4471,NA,NA
44712690044,GVRD0269,DTR,3,Tails,45,0.89,16.8,55.89,2.509,0.101,0.685,0.645,0.171,0.196,3.36,0.251,0.037,0.005,0.001,-0.001,0.006,-0.001,0.006,-0.001,0.004,-0.001,0.001,-0.001,0.004,0.008,0.44,10.47,0.61,11.52,4471,NA,NA
44712690045,GVRD0269,DTR,4,Tails,45,0.89,16.47,56.34,2.604,0.114,0.844,0.788,0.214,0.206,3.03,0.078,0.025,0.006,0.002,-0.001,0.008,-0.001,-0.001,-0.001,0.005,0.002,-0.001,-0.001,0.003,0.006,0.42,10.33,0.54,11.29,4471,NA,NA
44712690046,GVRD0269,DTR,5,Tails,45,1.15,16.1,59.82,2.952,0.13,0.852,0.538,0.14,0.263,2.52,0.298,0.015,0.006,0.003,0.004,0.007,0.003,0.009,0.001,0.004,0.003,0.001,-0.001,0.005,0.011,0.51,8.23,0.74,9.48,4471,NA,NA
44712690047,GVRD0269,DTR,6,Tails,45,1.02,14.04,61.71,1.598,0.062,0.914,1.878,0.166,0.069,2.67,0.495,0.019,0.003,0.001,-0.001,0.007,-0.001,0.007,-0.001,0.005,-0.001,-0.001,-0.001,0.003,0.007,0.23,7.62,1.71,9.56,4471,NA,NA
44712690048,GVRD0269,DTR,7,Tails,45,0.89,13.99,61.45,1.789,0.078,0.914,2.002,0.194,0.136,2.83,0.63,0.02,0.004,0.001,-0.001,0.006,0.001,0.008,-0.001,0.004,-0.001,-0.001,-0.001,0.004,0.009,0.25,6.88,1.71,8.84,4471,NA,NA
44712690049,GVRD0269,DTR,2,Tails,38,0.89,15.55,62.52,2.067,0.086,0.953,0.63,0.197,0.132,2.26,0.386,0.021,0.004,0.001,-0.001,0.008,0.001,0.009,-0.001,0.009,0.004,0.001,-0.001,0.004,0.01,0.6,6.54,0.51,7.65,4471,NA,NA
44712690050,GVRD0269,DTR,3,Tails,38,0.76,16.6,55.6,2.497,0.104,0.685,0.667,0.177,0.183,3.37,0.25,0.033,0.004,0.001,-0.001,0.006,-0.001,0.006,-0.001,0.007,0.005,-0.001,-0.001,0.003,0.006,0.42,10.65,0.61,11.68,4471,NA,NA
